numeroRegla,media0,media1,desviacion_estandar0,desviacion_estandar1,pesos0,pesos1,pesos2
0,62.6362,30.5163,45.4333,15.6182,-0.378521,0.222062,-0.938453
1,10.1209,8.05893,58.979,15.6182,-0.378521,0.708113,0.906242
2,34.5738,-10.9553,49.4146,21.2674,-0.378521,0.0449164,-0.938453
3,34.5738,-10.9553,49.4146,20.3569,0.958848,0.0449164,-0.938453
4,34.5738,-10.9553,49.4146,18.3249,-0.378521,0.0449164,-0.938453
5,34.5738,-12.2512,49.4146,26.0651,-0.378521,0.624642,-0.938453
6,-6.24856,30.5163,58.979,21.2674,-0.146204,0.708113,-0.409294
7,34.5738,-10.9553,44.6181,21.2674,-0.378521,-0.199297,-0.409294
8,34.5738,-10.9553,49.4146,20.3569,0.20137,0.0449164,-0.938453
9,62.6362,16.5185,58.979,21.2674,-0.378521,0.0449164,-0.409294
10,-25.2126,-10.9553,49.4146,21.2674,-0.378521,0.708113,-0.938453
11,-6.24856,30.5163,58.979,21.2674,-0.378521,0.708113,-0.409294
12,-15.629,30.5163,49.4146,21.2674,0.20137,0.222062,-0.409294
13,-15.629,8.05893,44.6181,15.6182,-0.378521,0.708113,-0.409294
14,-15.629,30.5163,53.3105,21.2674,-0.378521,0.708113,-0.409294
15,34.5738,-10.9553,44.6181,21.2674,-0.378521,0.0449164,-0.938453
16,34.5738,-10.9553,58.979,18.3249,-0.351137,0.0449164,-0.938453
17,34.5738,-10.9553,49.4146,28.5092,0.958848,0.0449164,-0.938453
18,-6.24856,30.5163,58.979,21.2674,-0.378521,0.708113,-0.409294
19,34.5738,30.5163,49.4146,26.5597,-0.378521,0.222062,-0.409294
